step,3915-choose-best,3915-choose-first,6058-choose-best,6058-choose-first,7494-choose-best,7494-choose-first,time-3915-choose-best,time-3915-choose-first,time-6058-choose-best,time-6058-choose-first,time-7494-choose-best,time-7494-choose-first
253,0.565152,0.179329,0.577969,0.184672,0.548778,0.182611,,,,,,
254,0.565511,0.181948,0.57838,0.184844,0.549156,0.183092,,,,,,
255,0.565864,0.182594,0.578792,0.185365,0.549719,0.183612,,,,,,
256,0.566188,0.187285,0.579379,0.185798,0.550095,0.183616,,,,,,
257,0.566512,0.191964,0.579966,0.1858,0.550471,0.18362,,,,,,
258,0.567126,0.191973,0.580376,0.186118,0.550847,0.184114,,,,,,
259,0.568542,0.191974,0.580776,0.186976,0.551223,0.18493,,,,,,
260,0.570516,0.193349,0.581175,0.187158,0.551599,0.186102,,,,,,
261,0.572504,0.193353,0.581575,0.187165,0.552165,0.186835,,,,,,
262,0.573895,0.193354,0.581974,0.189694,0.552541,0.186836,,,,,,
263,0.574745,0.19355,0.582373,0.189739,0.552917,0.186852,,,,,,
264,0.575298,0.193551,0.582763,0.189741,0.553293,0.187324,,,,,,
265,0.575663,0.193734,0.583153,0.189748,0.553668,0.187387,,,,,,
266,0.576014,0.195608,0.583543,0.194447,0.554043,0.187419,,,,,,
267,0.576333,0.197729,0.583933,0.196051,0.554417,0.188566,,,,,,
268,0.576629,0.202125,0.584316,0.196053,0.554791,0.18879,,,,,,
269,0.576904,0.202513,0.5847,0.196192,0.555164,0.188791,,,,,,
270,0.577178,0.202516,0.585083,0.196193,0.555536,0.191072,,,,,,
271,0.577434,0.202517,0.585466,0.196224,0.555908,0.191598,,,,,,
272,0.577689,0.202923,0.585849,0.203037,0.55628,0.191633,,,,,,
273,0.577929,0.205989,0.586208,0.203461,0.556651,0.192219,,,,,,
274,0.578159,0.209025,0.586566,0.203885,0.557022,0.193681,,,,,,
275,0.578479,0.210866,0.586925,0.204816,0.557391,0.193714,,,,,,
276,0.579157,0.210883,0.587275,0.204833,0.557752,0.193723,,,,,,
277,0.579524,0.217641,0.587624,0.205427,0.558109,0.193774,,,,,,
278,0.579754,0.219777,0.587963,0.205429,0.558834,0.193808,,,,,,
279,0.579983,0.219789,0.588302,0.206504,0.559175,0.194072,,,,,,
280,0.580203,0.219789,0.589001,0.206512,0.559396,0.196401,,,,,,
281,0.580598,0.219792,0.589608,0.206514,0.559612,0.196409,,,,,,
282,0.580814,0.22143,0.590402,0.206516,0.560347,0.196409,,,,,,
283,0.58103,0.221431,0.590987,0.207125,0.560757,0.199051,,,,,,
284,0.581246,0.221611,0.591372,0.207133,0.561117,0.199055,,,,,,
285,0.581462,0.221612,0.591989,0.207555,0.561459,0.199055,,,,,,
286,0.581677,0.223759,0.592389,0.20915,0.562498,0.199733,,,,,,
287,0.581892,0.223762,0.592714,0.210091,0.563125,0.200323,,,,,,
288,0.582107,0.224162,0.59304,0.210094,0.563894,0.201633,,,,,,
289,0.582313,0.224677,0.593347,0.210096,0.564653,0.201996,,,,,,
290,0.58252,0.226476,0.593645,0.210127,0.565042,0.202913,,,,,,
291,0.582726,0.226479,0.593941,0.210144,0.565311,0.202914,,,,,,
292,0.582932,0.22648,0.594962,0.210151,0.565552,0.203088,,,,,,
293,0.583138,0.227785,0.595402,0.210291,0.56581,0.20314,,,,,,
294,0.583343,0.22814,0.595809,0.212097,0.566371,0.203141,,,,,,
295,0.583549,0.228143,0.596204,0.212216,0.566562,0.203246,,,,,,
296,0.583748,0.228144,0.596456,0.212824,0.566756,0.203247,,,,,,
297,0.583947,0.229695,0.59669,0.21294,0.566947,0.204078,,,,,,
298,0.584146,0.229695,0.596924,0.219702,0.567136,0.204079,,,,,,
299,0.584345,0.229975,0.597157,0.219704,0.567325,0.206449,,,,,,
300,0.584539,0.230149,0.597391,0.219706,0.567515,0.208196,,,,,,
301,0.584732,0.231886,0.597681,0.219723,0.567704,0.211067,,,,,,
302,0.584926,0.232065,0.59805,0.226487,0.567892,0.21109,,,,,,
303,0.58512,0.232073,0.59827,0.226752,0.56808,0.211092,,,,,,
304,0.585313,0.233136,0.598488,0.228775,0.568267,0.211971,,,,,,
305,0.585507,0.233137,0.598718,0.228816,0.568454,0.212414,,,,,,
306,0.585701,0.233706,0.598935,0.228823,0.568641,0.212416,,,,,,
307,0.585894,0.233714,0.599153,0.229218,0.568829,0.218332,,,,,,
308,0.586088,0.234297,0.59937,0.230025,0.569016,0.218394,,,,,,
309,0.586281,0.234498,0.599633,0.231122,0.569203,0.219672,,,,,,
310,0.586475,0.237574,0.599839,0.231202,0.56939,0.219676,,,,,,
311,0.586665,0.237582,0.600045,0.232778,0.569577,0.219801,,,,,,
312,0.586855,0.237583,0.600251,0.232818,0.569764,0.221136,,,,,,
313,0.587045,0.238448,0.600457,0.234981,0.569952,0.221319,,,,,,
314,0.587235,0.238451,0.601037,0.23522,0.570139,0.222141,,,,,,
315,0.587425,0.238452,0.601235,0.235434,0.570326,0.222145,,,,,,
316,0.587615,0.240087,0.601432,0.236663,0.570513,0.222334,,,,,,
317,0.587805,0.240439,0.60163,0.236823,0.5707,0.224458,,,,,,
318,0.587995,0.240696,0.601827,0.236825,0.570887,0.224635,,,,,,
319,0.588185,0.242511,0.602025,0.236877,0.571075,0.227858,,,,,,
320,0.588369,0.243394,0.602223,0.238493,0.571262,0.228092,,,,,,
321,0.588554,0.243696,0.60242,0.238976,0.571449,0.228273,,,,,,
322,0.588738,0.2437,0.602612,0.239242,0.571636,0.228454,,,,,,
323,0.588922,0.248934,0.602804,0.239415,0.571823,0.228479,,,,,,
324,0.589107,0.249149,0.602996,0.240479,0.57201,0.228482,,,,,,
325,0.589291,0.24915,0.603187,0.240641,0.572197,0.228484,,,,,,
326,0.589475,0.249364,0.603379,0.243579,0.572385,0.228668,,,,,,
327,0.58966,0.249965,0.603571,0.243751,0.572572,0.229066,,,,,,
328,0.58984,0.249993,0.603763,0.24446,0.572759,0.229199,,,,,,
329,0.590021,0.251661,0.603955,0.2445,0.572946,0.240762,,,,,,
330,0.590202,0.251859,0.604146,0.248725,0.573133,0.240763,,,,,,
331,0.590382,0.25241,0.604338,0.249737,0.57332,0.240951,,,,,,
332,0.590563,0.252416,0.604521,0.250151,0.573508,0.240952,,,,,,
333,0.590739,0.252537,0.604703,0.250561,0.573695,0.24243,,,,,,
334,0.591095,0.252547,0.604886,0.250563,0.573882,0.24243,,,,,,
